Computer Time,Time,Touched ID,S
1714487993781430,48.24840764331191,"(11, 20)",2
1714487993855794,48.32802547770681,"(11, 20)",2
1714487993938684,48.40764331210171,"(11, 20)",2
1714487994014231,48.487261146496614,"(11, 20)",2
1714487994093993,48.56687898089152,"(11, 20)",2
1714487994173040,48.64649681528642,"(11, 20)",2
1714487994252823,48.72611464968132,"(11, 20)",2
1714487994338117,48.80573248407622,"(11, 20)",2
1714487994417030,48.885350318471126,"(11, 20)",2
1714487994491509,48.96496815286603,"(11, 20)",2
1714487994570833,49.04458598726093,"(11, 20)",2
1714487994653654,49.12420382165583,"(11, 20)",2
1714487994729409,49.203821656050735,"(11, 20)",2
1714487994808991,49.28343949044564,"(11, 20)",2
1714487994893971,49.36305732484054,"(11, 20)",2
1714487994965650,49.44267515923544,"(11, 20)",2
1714487995048810,49.522292993630344,"(11, 20)",2
1714487995128463,49.60191082802525,"(11, 20)",2
1714487995201432,49.68152866242015,"(11, 20)",2
1714487995280327,49.76114649681505,"(11, 20)",2
1714487995361380,49.840764331209954,"(11, 20)",2
1714487995438632,49.920382165604856,"(11, 20)",2
1714487995518160,49.99999999999976,"(11, 20)",2
1714487995599954,50.07961783439466,"(11, 20)",2
1714487995678557,50.15923566878956,"(11, 20)",2
1714487995756422,50.238853503184465,"(11, 20)",2
1714487995835780,50.31847133757937,"(11, 20)",2
1714487995926891,50.39808917197427,"(11, 20)",2
1714487996005141,50.47770700636917,"(11, 20)",2
1714487996085737,50.557324840764075,"(11, 20)",2
1714487996165280,50.63694267515898,"(11, 20)",2
1714487996245134,50.71656050955388,"(11, 20)",2
1714487996318247,50.79617834394878,"(11, 20)",2
1714487996397996,50.875796178343684,"(11, 20)",2
1714487996483216,50.955414012738586,"(11, 20)",2
1714487996558754,51.03503184713349,"(11, 20)",2
1714487996637976,51.11464968152839,"(11, 20)",2
1714487996717612,51.19426751592329,"(11, 20)",2
1714487996792778,51.273885350318196,"(11, 20)",2
1714487996877433,51.3535031847131,"(11, 20)",2
1714487996956948,51.433121019108,"(11, 20)",2
1714487997039204,51.5127388535029,"(11, 20)",2
1714487997118799,51.592356687897805,"(11, 20)",2
1714487997198465,51.67197452229271,"(11, 20)",2
1714487997278189,51.75159235668761,"(11, 20)",2
1714487997357205,51.83121019108251,"(11, 20)",2
1714487997431333,51.910828025477414,"(11, 20)",2
1714487997505897,51.99044585987232,"(11, 20)",2
1714487997595772,52.07006369426722,"(11, 20)",2
1714487997674729,52.14968152866212,"(11, 20)",2
1714487997749464,52.229299363057024,"(11, 20)",2
1714487997834062,52.308917197451926,"(11, 20)",2
1714487997912960,52.38853503184683,"(11, 20)",2
1714487997992536,52.46815286624173,"(11, 20)",2
1714487998067178,52.54777070063663,"(11, 20)",2
1714487998147263,52.627388535031535,"(11, 20)",2
1714487998229337,52.70700636942644,"(11, 20)",2
1714487998304692,52.78662420382134,"(11, 20)",2
1714487998384727,52.86624203821624,"(11, 20)",2
1714487998463692,52.945859872611145,"(11, 20)",2
1714487998543328,53.02547770700605,"(11, 20)",2
1714487998622866,53.10509554140095,"(11, 20)",2
1714487998702316,53.18471337579585,"(11, 20)",2
1714487998781609,53.264331210190754,"(11, 20)",2
1714487998866895,53.343949044585656,"(11, 20)",2
1714487998941233,53.42356687898056,"(11, 20)",2
1714487999020875,53.50318471337546,"(11, 20)",2
1714487999106946,53.58280254777036,"(11, 20)",2
1714487999177322,53.662420382165266,"(11, 20)",2
1714487999256707,53.74203821656017,"(11, 20)",2
1714487999343588,53.82165605095507,"(11, 20)",2
1714487999421578,53.90127388534997,"(11, 20)",2
1714487999498723,53.980891719744875,"(11, 20)",2
1714487999577815,54.06050955413978,"(11, 20)",2
1714487999663265,54.14012738853468,"(11, 20)",2
1714487999732063,54.21974522292958,"(11, 20)",2
1714487999820529,54.299363057324484,"(11, 20)",2
1714487999894032,54.37898089171939,"(11, 20)",2
1714487999974315,54.45859872611429,"(11, 20)",2
1714488000058042,54.53821656050919,"(11, 20)",2
1714488000130543,54.617834394904094,"(11, 20)",2
1714488000217596,54.697452229298996,"(11, 20)",2
1714488000296926,54.7770700636939,"(11, 20)",2
1714488000378524,54.8566878980888,"(11, 20)",2
1714488000451527,54.9363057324837,"(11, 20)",2
1714488000528968,55.015923566878605,"(11, 20)",2
1714488000613882,55.09554140127351,"(11, 20)",2
1714488000692528,55.17515923566841,"(11, 20)",2
1714488000767798,55.25477707006331,"(11, 20)",2
1714488000847683,55.334394904458215,"(11, 20)",2
1714488000932767,55.41401273885312,"(11, 20)",2
1714488001004916,55.49363057324802,"(11, 20)",2
