SampledPos_x,SampledPos_y,ObservationPre_LinID,ObservationPre_row,ObservationPre_col,Action,ReachedPos_x,ReachedPos_y,ObservationPost_LinID,ObservationPost_row,ObservationPost_col,discrTouch,Loss
155.01563561706743,246.24695201647202,19,2,5,0,127.20977419838947,238.83267593714845,25,3,4,110,0.04807230457663536
127.20977419838947,238.83267593714845,25,3,4,1,94.94755717771449,253.39363672533068,18,2,4,137,0.037314169108867645
94.94755717771449,253.39363672533068,18,2,4,2,121.54777837263266,264.37387585736127,18,2,4,137,0.0021510005462914705
121.54777837263266,264.37387585736127,18,2,4,2,149.35363979131063,271.7881519366848,12,1,5,138,0.004685251973569393
149.35363979131063,271.7881519366848,12,1,5,0,121.54777837263266,264.37387585736127,18,2,4,211,0.003764068242162466
121.54777837263266,264.37387585736127,18,2,4,3,155.01563561706743,246.24695201647202,19,2,5,143,0.0010308754863217473
94.94755717771449,253.39363672533068,17,2,3,3,127.20977419838947,238.83267593714845,25,3,4,236,0.03740956634283066
174.2691293930835,278.59885841985965,5,0,5,0,145.78013969716437,274.5350073988491,12,1,5,186,0.003970042802393436
145.78013969716437,274.5350073988491,12,1,5,1,108.69896124623445,291.21444888878796,10,1,3,154,0.002732912776991725
108.69896124623445,291.21444888878796,10,1,3,0,82.23251237475986,279.9155771243693,17,2,3,154,0.00639431644231081
82.23251237475986,279.9155771243693,17,2,3,1,44.99268740669186,288.25435727540616,16,2,2,104,0.0008060592226684093
44.99268740669186,288.25435727540616,16,2,2,3,82.23251237475986,279.9155771243693,17,2,3,104,0.0004323140310589224
82.23251237475986,279.9155771243693,17,2,3,3,118.06531625693604,266.78736384147476,18,2,4,188,0.0010125935077667236
118.06531625693604,266.78736384147476,18,2,4,1,82.23251237475986,279.9155771243693,17,2,3,139,0.0008740916382521391
82.23251237475986,279.9155771243693,17,2,3,1,44.99268740669186,288.25435727540616,16,2,2,139,0.000611740630120039
44.99268740669186,288.25435727540616,16,2,2,2,69.75791343133571,302.9111304183409,9,1,2,189,0.0069397264160215855
69.75791343133571,302.9111304183409,9,1,2,3,108.69896124623445,291.21444888878796,10,1,3,189,0.00018139863095711917
5.5025801666929794,279.133516433364,15,2,1,3,41.88973985160533,276.02725966851676,16,2,2,124,0.002397035714238882
41.88973985160533,276.02725966851676,16,2,2,0,23.476537616693832,298.1426706407642,15,2,1,121,0.0018122291658073664
23.476537616693832,298.1426706407642,15,2,1,0,2.3342224958650775,317.6654760320682,7,1,0,93,0.006707098800688982
2.3342224958650775,317.6654760320682,7,1,0,2,23.476537616693832,298.1426706407642,15,2,1,93,0.00484166806563735
23.476537616693832,298.1426706407642,15,2,1,0,2.3342224958650775,317.6654760320682,7,1,0,180,0.0043487087823450565
2.3342224958650775,317.6654760320682,7,1,0,3,43.77791788506461,314.6431266736797,8,1,1,122,0.0011340902419760823
43.77791788506461,314.6431266736797,8,1,1,2,62.19112011997608,292.5277157014322,9,1,2,122,0.00011877556244144216
62.19112011997608,292.5277157014322,9,1,2,1,23.476537616693832,298.1426706407642,15,2,1,184,0.001529804663732648
23.476537616693832,298.1426706407642,15,2,1,0,2.3342224958650775,317.6654760320682,7,1,0,184,0.0030332328751683235
2.3342224958650775,317.6654760320682,7,1,0,2,23.476537616693832,298.1426706407642,15,2,1,193,0.00214403192512691
78.46715858701549,265.27449213218995,17,2,3,1,43.1705918165776,273.24705150269705,16,2,2,117,0.00046113162534311414
43.1705918165776,273.24705150269705,16,2,2,3,78.46715858701549,265.27449213218995,17,2,3,117,0.00022892063134349883
78.46715858701549,265.27449213218995,17,2,3,0,63.42368387636773,289.8067420829233,9,1,2,211,0.003469616873189807
63.42368387636773,289.8067420829233,9,1,2,0,45.30680700462938,312.1655477627762,8,1,1,190,0.00030067955958656967
45.30680700462938,312.1655477627762,8,1,1,3,85.66498128175655,303.5812032273823,9,1,2,142,0.000832649355288595
85.66498128175655,303.5812032273823,9,1,2,3,124.55740397833299,289.8025001361569,11,1,4,118,0.0024606003426015377
124.55740397833299,289.8025001361569,11,1,4,0,109.51392926768523,314.3347500868902,3,0,3,118,0.0012279021320864558
109.51392926768523,314.3347500868902,3,0,3,1,67.5481044100182,325.9400089072352,2,0,2,204,0.000561711669433862
67.5481044100182,325.9400089072352,2,0,2,0,46.6678101634119,345.74280495199343,1,0,1,209,0.00037475014687515795
46.6678101634119,345.74280495199343,1,0,1,2,67.5481044100182,325.9400089072352,2,0,2,192,0.0002376785851083696
165.71017791366688,230.062202441397,20,2,6,1,134.2633611114107,249.7235069420426,19,2,5,144,0.0077192108146846294
134.2633611114107,249.7235069420426,19,2,5,1,100.51926097570198,265.1119730024734,17,2,3,168,0.005290633533149958
100.51926097570198,265.1119730024734,17,2,3,1,65.05524841549479,275.9642997019066,16,2,2,168,0.00030587275978177786
65.05524841549479,275.9642997019066,16,2,2,1,28.47812251817598,282.0948007216815,15,2,1,155,0.00219603069126606
28.47812251817598,282.0948007216815,15,2,1,2,52.01925148667013,298.64631623851204,9,1,2,155,0.0013476815074682236
52.01925148667013,298.64631623851204,9,1,2,0,28.47812251817598,282.0948007216815,22,3,1,73,0.09888698160648346
77.51938912930476,311.9834973208038,2,0,2,3,117.57821794986523,299.1961245658683,3,0,3,155,0.0007143182447180152
134.7722932082906,304.0843056178032,4,0,4,2,147.73376552043104,278.39116150275237,12,1,5,157,0.0019471450941637158
147.73376552043104,278.39116150275237,12,1,5,2,157.23072237264296,251.22601417087918,19,2,5,102,0.003007548861205578
157.23072237264296,251.22601417087918,19,2,5,0,147.73376552043104,278.39116150275237,12,1,5,102,0.0022816271521151066
147.73376552043104,278.39116150275237,12,1,5,2,157.23072237264296,251.22601417087918,19,2,5,213,0.001942844013683498
