SampledPos_x,SampledPos_y,ObservationPre_row,ObservationPre_col,Action,ReachedPos_x,ReachedPos_y,ObservationPost_row,ObservationPost_col,discrTouch
76.95918367346938,297.2308802308802,5,9,1,86.95918367346938,297.2308802308802,5,10,110
88.40816326530611,297.02453102453103,5,10,3,78.40816326530611,297.02453102453103,5,10,127
87.71428571428571,281.0909090909091,6,10,1,97.71428571428571,281.0909090909091,6,11,38
115.0204081632653,258.08658008658006,8,14,3,105.0204081632653,258.08658008658006,9,13,110
114.87755102040816,305.1067821067821,3,12,2,114.87755102040816,295.1067821067821,4,12,80
55.265306122448976,286.6002886002886,7,8,1,65.26530612244898,286.6002886002886,6,9,148
109.65306122448979,305.08369408369407,3,12,3,99.65306122448979,305.08369408369407,4,11,118
77.36734693877551,275.64935064935065,8,10,3,67.36734693877551,275.64935064935065,7,9,142
113.3265306122449,308.1832611832612,3,12,2,113.3265306122449,298.1832611832612,4,12,102
63.59183673469388,280.47041847041845,7,8,3,53.59183673469388,280.47041847041845,8,8,190
77.10204081632654,315.98845598845594,3,9,1,87.10204081632654,315.98845598845594,3,9,231
118.83673469387755,279.94372294372295,5,13,0,118.83673469387755,289.94372294372295,4,13,162
91.59183673469387,273.3997113997114,7,12,0,91.59183673469387,283.3997113997114,6,11,153
89.85714285714286,299.34343434343435,5,10,1,99.85714285714286,299.34343434343435,4,11,137
120.91836734693878,261.96681096681095,7,14,0,120.91836734693878,271.96681096681095,6,14,120
118.75510204081633,297.4155844155844,3,13,3,108.75510204081633,297.4155844155844,4,12,96
37.91836734693877,282.9264069264069,8,7,2,37.91836734693877,272.9264069264069,9,6,121
118.0,245.25252525252526,9,14,0,118.0,255.25252525252526,8,14,191
72.89795918367346,262.01154401154406,9,10,0,72.89795918367346,272.01154401154406,8,9,111
80.44897959183673,257.4199134199134,9,10,3,70.44897959183673,257.4199134199134,9,10,184
29.816326530612244,290.34199134199133,7,5,0,29.816326530612244,300.34199134199133,6,5,184
115.40816326530611,290.2063492063492,5,13,2,115.40816326530611,280.2063492063492,6,13,107
102.73469387755102,289.3795093795094,5,12,2,102.73469387755102,279.3795093795094,6,12,213
122.55102040816327,307.1962481962482,2,13,3,112.55102040816327,307.1962481962482,3,12,168
75.40816326530611,300.3073593073593,5,13,3,65.40816326530611,300.3073593073593,5,8,41
92.65306122448979,309.3766233766234,3,10,3,82.65306122448979,309.3766233766234,4,9,178
47.61224489795919,296.5873015873016,6,7,0,47.61224489795919,306.5873015873016,5,6,212
37.04081632653061,289.8600288600289,11,6,2,37.04081632653061,279.8600288600289,8,6,35
95.75510204081633,303.22366522366525,4,10,2,95.75510204081633,293.22366522366525,5,10,115
46.63265306122449,308.91630591630593,5,6,2,46.63265306122449,298.91630591630593,6,7,151
74.6938775510204,272.29725829725834,8,10,1,84.6938775510204,272.29725829725834,8,11,216
90.0,318.1010101010101,2,9,2,90.0,308.1010101010101,4,10,113
42.755102040816325,316.60750360750365,4,6,3,32.755102040816325,316.60750360750365,4,5,188
62.46938775510204,274.04184704184706,8,9,1,72.46938775510205,274.04184704184706,6,19,45
109.75510204081633,299.68831168831167,3,12,3,99.75510204081633,299.68831168831167,4,11,112
111.46938775510205,261.6681096681097,8,13,3,101.46938775510205,261.6681096681097,8,13,171
67.79591836734694,268.6695526695527,8,10,1,77.79591836734694,268.6695526695527,8,11,92
35.3469387755102,274.1789321789322,9,7,1,45.3469387755102,274.1789321789322,9,8,174
126.0,309.01010101010104,2,13,2,126.0,299.01010101010104,3,13,130
113.81632653061224,269.12987012987014,7,13,0,113.81632653061224,279.12987012987014,6,13,60
118.91836734693878,262.4718614718615,7,13,2,118.91836734693878,252.47186147186147,9,14,214
54.08163265306123,309.7200577200577,5,7,1,64.08163265306123,309.7200577200577,4,7,144
87.59183673469387,274.4098124098124,7,11,0,87.59183673469387,284.4098124098124,6,10,239
108.65306122448979,305.33621933621936,3,11,2,108.65306122448979,295.33621933621936,4,11,105
34.3469387755102,274.43145743145743,9,7,0,34.3469387755102,284.43145743145743,8,6,72
70.51020408163265,296.1746031746032,6,9,0,70.51020408163265,306.1746031746032,4,8,143
41.53061224489796,315.57431457431454,4,6,2,41.53061224489796,305.57431457431454,5,6,108
29.26530612244898,293.1659451659452,7,5,1,39.265306122448976,293.1659451659452,6,6,93
87.89795918367346,258.22366522366525,9,12,3,77.89795918367346,258.22366522366525,9,10,135
47.3469387755102,271.14862914862914,9,8,3,37.3469387755102,271.14862914862914,9,7,129
111.77551020408163,311.2597402597402,2,12,3,101.77551020408163,311.2597402597402,3,11,78
93.20408163265306,306.55266955266956,4,10,1,103.20408163265306,306.55266955266956,3,11,135
120.34693877551021,252.71428571428572,9,14,0,120.34693877551021,262.7142857142857,7,13,145
65.57142857142857,267.8888888888889,8,9,3,55.57142857142857,267.8888888888889,9,8,153
60.83673469387755,294.5901875901876,6,8,0,60.83673469387755,304.5901875901876,5,8,132
67.16326530612245,288.96536796536793,6,8,0,67.16326530612245,298.96536796536793,5,9,172
62.224489795918366,260.67965367965365,9,9,1,72.22448979591837,260.67965367965365,9,9,142
26.122448979591837,275.1659451659452,9,6,1,36.12244897959184,275.1659451659452,9,7,49
58.53061224489796,311.28138528138527,4,7,0,58.53061224489796,321.28138528138527,3,7,138
70.53061224489795,308.2510822510822,4,8,1,80.53061224489795,308.2510822510822,0,8,31
28.755102040816325,320.14285714285717,4,5,2,28.755102040816325,310.14285714285717,5,5,233
81.08163265306122,302.9018759018759,4,9,0,81.08163265306122,312.9018759018759,3,9,143
111.46938775510205,261.6681096681097,7,13,1,121.46938775510205,261.6681096681097,7,14,124
120.18367346938776,287.6580086580086,4,13,3,110.18367346938776,287.6580086580086,5,12,215
62.69387755102041,275.32756132756134,8,8,2,62.69387755102041,265.32756132756134,9,9,82
82.61224489795919,287.74891774891773,6,10,3,72.61224489795919,287.74891774891773,6,9,121
80.20408163265306,309.83549783549785,3,9,2,80.20408163265306,299.83549783549785,4,9,158
84.61224489795919,287.24386724386727,6,10,0,84.61224489795919,297.24386724386727,5,9,54
106.53061224489795,299.16017316017314,4,11,3,96.53061224489795,299.16017316017314,4,11,120
76.65306122448979,313.4170274170274,3,9,2,76.65306122448979,303.4170274170274,5,9,132
109.51020408163265,286.3261183261183,5,12,2,109.51020408163265,276.3261183261183,6,12,146
61.04081632653061,283.7994227994228,7,8,3,51.04081632653061,283.7994227994228,7,8,62
68.9795918367347,311.32756132756134,4,10,0,68.9795918367347,321.32756132756134,3,8,49
77.44897959183673,258.1774891774892,9,10,0,77.44897959183673,268.1774891774892,8,11,74
62.95918367346939,300.76623376623377,5,8,3,52.95918367346939,300.76623376623377,6,7,126
119.40816326530611,289.1962481962482,5,13,3,109.40816326530611,289.1962481962482,5,12,54
71.57142857142857,266.37373737373736,9,9,0,71.57142857142857,276.37373737373736,7,9,111
29.897959183673468,272.8701298701299,9,7,0,29.897959183673468,282.8701298701299,8,6,162
76.59183673469387,277.18759018759016,7,9,1,86.59183673469387,277.18759018759016,7,11,164
59.36734693877551,280.1948051948052,8,8,2,59.36734693877551,270.1948051948052,8,9,165
63.224489795918366,260.4271284271284,10,9,1,73.22448979591837,260.4271284271284,9,10,158
76.77551020408163,320.0981240981241,3,8,3,66.77551020408163,320.0981240981241,3,7,123
86.95918367346938,294.7056277056277,5,10,3,76.95918367346938,294.7056277056277,5,10,150
63.69387755102041,275.0750360750361,8,8,3,53.69387755102041,275.0750360750361,8,9,123
115.61224489795919,279.4155844155844,5,13,2,115.61224489795919,269.4155844155844,7,13,39
117.40816326530611,289.7012987012987,5,13,0,117.40816326530611,299.7012987012987,3,12,190
69.10204081632654,318.008658008658,3,8,1,79.10204081632654,318.008658008658,3,8,44
94.57142857142857,260.5656565656566,8,11,3,84.57142857142857,260.5656565656566,9,11,98
83.71428571428571,282.1010101010101,7,10,2,83.71428571428571,272.1010101010101,8,10,214
