Computer Time (ms),touch_row,touch_col,type
90894,2,3,2
90972,2,4,2
91051,1,5,2
91126,1,5,2
91206,1,6,2
91285,2,6,2
91364,2,7,2
91444,2,7,2
91524,2,6,2
91603,2,6,2
91767,3,5,2
91846,3,4,2
91924,3,4,2
92000,3,3,2
92164,4,2,2
92243,4,2,2
92316,5,2,2
92401,6,2,2
92479,6,2,2
92558,6,1,2
92638,5,1,2
92717,4,1,2
92798,4,1,2
92876,4,2,2
92956,4,3,2
93039,3,3,2
93116,3,4,2
93192,3,4,2
93272,3,5,2
93351,3,4,2
93430,3,4,2
93510,2,3,2
93589,2,3,2
93672,1,4,2
93752,2,4,2
93827,2,5,2
93918,2,5,2
93990,2,6,2
94063,2,6,2
94151,2,7,2
94228,2,7,2
94309,2,8,2
94385,2,9,2
94468,2,9,2
94543,2,9,2
94622,3,9,2
94703,4,8,2
94781,4,8,2
94860,4,9,2
94940,4,9,2
95020,4,10,2
95099,4,10,2
95178,4,11,2
95258,4,12,2
95337,4,12,2
95417,4,13,2
95496,4,13,2
95576,4,13,2
95655,3,12,2
95739,3,12,2
95818,3,11,2
95899,3,11,2
95973,3,10,2
96052,3,9,2
96137,3,9,2
96212,3,9,2
96290,3,10,2
96370,2,10,2
96454,2,11,2
96533,2,11,2
96609,1,12,2
96688,1,12,2
96847,2,13,2
96926,3,13,2
97006,4,13,2
97085,4,13,2
97164,5,12,2
97244,6,12,2
97328,6,13,2
97408,7,13,2
97480,7,14,2
97567,7,14,2
97646,8,15,2
97723,8,15,2
97798,8,16,2
97885,8,16,2
97964,7,17,2
98038,7,17,2
98118,6,18,2
98197,6,18,2
98282,5,18,2
98359,5,19,2
98433,5,19,2
98601,6,18,2
98674,7,18,2
98753,6,18,2
98833,6,19,2
98918,6,18,2
98992,6,18,2
99071,5,17,2
99156,5,17,2
99235,5,16,2
99310,5,16,2
99394,5,15,2
99474,5,15,2
99548,4,14,2
99632,4,13,2
99713,4,13,2
99786,4,12,2
99869,5,12,2
99945,5,11,2
100030,5,11,2
100109,5,10,2
100184,5,9,2
100263,5,9,2
100348,5,8,2
100426,5,8,2
100502,6,7,2
100581,6,7,2
100658,5,7,2
100745,5,8,2
100820,5,8,2
100902,5,9,2
100981,5,10,2
101061,5,10,2
101136,5,11,2
101216,4,11,2
101302,4,12,2
101379,4,12,2
101453,3,12,2
101539,2,12,2
101620,2,12,2
101692,1,13,2
101775,1,13,2
101854,1,12,2
101934,1,12,2
102013,1,11,2
102092,1,10,2
102172,1,10,2
102247,1,9,2
102415,1,8,2
102492,2,9,2
102567,2,9,2
102647,2,10,2
102726,2,10,2
102806,2,11,2
102885,2,12,2
102965,2,12,2
103044,2,13,2
103125,2,13,2
103203,1,14,2
103362,1,15,2
103446,1,16,2
103524,1,15,2
103598,1,15,2
103681,1,14,2
103761,1,14,2
103844,1,13,2
103924,1,12,2
103997,1,12,2
104077,1,11,2
104156,1,11,2
104235,1,12,2
104316,1,13,2
104394,1,13,2
104479,1,14,2
104559,1,14,2
104637,1,15,2
104712,1,15,2
104792,1,16,2
104876,1,17,2
