Computer Time,jointAngle1,jointAngle2
21352,-0.4658276547071077,1.5919467081158236,1
21447,-0.5731893166124646,1.4859127934623193,1
21728,-0.6103712716471182,1.513316361751815,1
22004,-0.6015204933739857,1.3905584968124929,1
22117,-0.5493001751071298,1.4222769253119758,1
22515,-0.5454651572679249,1.3726286335174966,1
22679,-0.4898381044357007,1.4584234284036397,1
23287,-0.5328696314851313,1.4519058560382532,1
23299,-0.6116249301013712,1.313568956316851,1
23711,-0.6104620629384481,1.3077500107699898,1
24219,-0.6156309451234739,1.1475665273804814,1
25012,-0.5530020185790092,1.2575855871790917,1
25225,-0.6898565629958571,1.14625667927226,1
25535,-0.698792562221506,1.2445649802165923,1
25642,-0.6127413842491225,1.2250300647603727,1
25744,-0.5813349641436997,1.148100745189266,1
26561,-0.5766070486856443,1.102322770416266,1
26955,-0.48071051444466806,1.2900527280597716,1
27364,-0.4753763959733924,1.4393472258784181,1
27857,-0.30615619401545374,1.2684741655020881,1
28333,-0.3510756690130312,1.130851052345048,1
28631,-0.16316624643012034,0.9647429409864926,1
29243,-0.29368684592697514,1.113695472054708,1
29384,-0.4657298241931302,1.1636175795401236,1
29845,-0.4133983621783156,1.0575131829047753,1
30188,-0.3134422285436405,1.0758774866372236,1
30334,-0.23610264554057514,1.0821626798635502,1
30749,-0.16324971694306428,0.9745681796820567,1
31176,-0.3212828333442004,1.109456186395246,1
31252,-0.4718318995791231,1.2199130619383958,1
31768,-0.4958146489179744,1.2675278592224573,1
32286,-0.6337485320262335,1.28406497449721,1
32619,-0.8071097137381635,1.3708415372438187,1
32705,-0.7411973626895562,1.4103538260842003,1
33350,-0.7694104022811534,1.466669201531238,1
33639,-0.9617412111622996,1.504357656288247,1
34303,-1.0615001283344776,1.54799072821017,1
34743,-0.9349890312252598,1.664164575759617,1
35342,-0.839388749096823,1.7251998077534676,1
35587,-0.9155542709293022,1.5690075366336462,1
36217,-0.8591259251095354,1.5910582523955616,1
37046,-0.6687327586722668,1.5656143199212353,1
37601,-0.7917720501434805,1.3848209410218422,1
38443,-0.8243553169282805,1.2040108870269832,1
38821,-0.6557981506038917,1.2857742009210753,1
39233,-0.8048775438543478,1.408679563518203,1
39499,-0.8780541165701117,1.350221016995845,1
39798,-0.7928000345777324,1.1679137613349366,1
39946,-0.6884343717905383,1.09542123030376,1
40586,-0.6791026194407186,1.1399815888488716,1
40648,-0.8238201319667927,1.126933793528273,1
41803,-0.8221426524546938,1.14895150468561,1
41914,-0.6298487837408848,1.3246523222668511,1
42611,-0.6036952655994275,1.260087529183553,1
42659,-0.4095106326873013,1.2156742127527818,1
42982,-0.4070984311771292,1.2356880565748494,1
43160,-0.5423259655389224,1.4083076962315364,1
43569,-0.5576754723032903,1.355162370702452,1
44226,-0.5571352757261572,1.52191177440731,1
44870,-0.6356461579250404,1.3582449150647373,1
45097,-0.5341958090941452,1.478879827784336,1
45653,-0.5066672268754949,1.3622859421266347,1
46096,-0.6794781945217864,1.417687673353261,1
46592,-0.6997593959364009,1.2675490263964053,1
46842,-0.6490416842763632,1.4019393314356594,1
46993,-0.7508902996271943,1.536617346435593,1
47282,-0.8066192995527254,1.6183014948947234,1
47577,-0.7550200745466036,1.6733697788278188,1
47932,-0.8680476716208768,1.7257502843047503,1
48590,-0.7536811737726719,1.5327816988948006,1
49083,-0.8347214163714529,1.3731627858041682,1
49560,-0.771641527733564,1.4888341663638502,1
49648,-0.9549984539125996,1.6311188862837673,1
49897,-0.9927279717086239,1.6660743052535905,1
50466,-0.9113662390137445,1.5309979522279582,1
51381,-0.9656834418548707,1.3680488546702065,1
52129,-0.78080146006327,1.4769062754412505,1
52508,-0.889609310877004,1.3166574802449804,1
52855,-0.7771157745432342,1.284754145184694,1
53165,-0.9184419675123662,1.4666244852592454,1
53510,-0.794640676492183,1.3625710774955677,1
53865,-0.7743814125012121,1.1975782591505608,1
54370,-0.672286256271964,1.1605541368504155,1
54555,-0.8285712326022077,1.2325645265498244,1
55101,-0.7544622255712272,1.0995353351942567,1
55753,-0.7236694184904274,1.2767889615289665,1
55900,-0.8322092236566345,1.1776527703479918,1
56473,-0.8719661815351157,1.186747795706465,1
56599,-0.6815550169145709,1.0698387866409864,1
57008,-0.7352856189312382,1.1386894554206102,1
57238,-0.7299120675329092,0.9656605459870182,1
57689,-0.8047909933750482,1.1456651624274299,1
57908,-0.676483664324207,1.0998501199164707,1
58132,-0.6494697965063598,0.9759597469248271,1
59153,-0.7304550278467314,1.1526854818141032,1
59601,-0.5662355487645636,1.3176219769247886,1
60007,-0.5758322019609612,1.5125414795055618,1
60432,-0.6676828256010858,1.4743062100713453,1
60813,-0.6612215835011707,1.2919302546306224,1
61572,-0.8131467290884553,1.4347502113780437,1
62485,-0.9138654654060429,1.263123616660187,1
62886,-0.7420676895519679,1.378573666435197,1
63165,-0.8524783215433628,1.3849116700223771,1
63546,-0.9502308707281175,1.4365667240308373,1
64062,-0.884772377557115,1.5069321203332136,1
64449,-1.0152135431005047,1.4902393877467108,1
64586,-0.9842072488190073,1.6064875686435016,1
65121,-0.9589918865305571,1.6352359381991504,1
65324,-1.0664578906997906,1.555663414095827,1
